date,symbol,close,tradecount
29-10-2022,1INCHBTC,3.00E-05,2565
28-10-2022,1INCHBTC,2.98E-05,3317
27-10-2022,1INCHBTC,2.93E-05,2226
26-10-2022,1INCHBTC,2.94E-05,3550
25-10-2022,1INCHBTC,2.90E-05,1724
24-10-2022,1INCHBTC,2.93E-05,1450
23-10-2022,1INCHBTC,2.96E-05,1219
22-10-2022,1INCHBTC,2.98E-05,929
21-10-2022,1INCHBTC,2.97E-05,2766
20-10-2022,1INCHBTC,2.96E-05,2624
19-10-2022,1INCHBTC,2.96E-05,2636
18-10-2022,1INCHBTC,2.95E-05,2130
17-10-2022,1INCHBTC,2.95E-05,794
16-10-2022,1INCHBTC,2.96E-05,1063
15-10-2022,1INCHBTC,2.95E-05,1476
14-10-2022,1INCHBTC,2.92E-05,2368
13-10-2022,1INCHBTC,2.91E-05,4597
12-10-2022,1INCHBTC,2.98E-05,1497
11-10-2022,1INCHBTC,2.95E-05,2451
10-10-2022,1INCHBTC,3.01E-05,3212
09-10-2022,1INCHBTC,3.13E-05,1666
08-10-2022,1INCHBTC,3.09E-05,4297
07-10-2022,1INCHBTC,3.15E-05,16081
06-10-2022,1INCHBTC,2.88E-05,1584
05-10-2022,1INCHBTC,2.90E-05,1362
04-10-2022,1INCHBTC,2.88E-05,1278
03-10-2022,1INCHBTC,2.92E-05,1824
02-10-2022,1INCHBTC,2.90E-05,1675
01-10-2022,1INCHBTC,2.98E-05,962
30-09-2022,1INCHBTC,2.97E-05,2650
29-09-2022,1INCHBTC,2.98E-05,2118
28-09-2022,1INCHBTC,3.02E-05,4396
27-09-2022,1INCHBTC,3.18E-05,6585
26-09-2022,1INCHBTC,3.25E-05,4904
25-09-2022,1INCHBTC,3.20E-05,2290
24-09-2022,1INCHBTC,3.20E-05,1360
23-09-2022,1INCHBTC,3.15E-05,3857
22-09-2022,1INCHBTC,3.05E-05,2141
21-09-2022,1INCHBTC,3.04E-05,3403
20-09-2022,1INCHBTC,3.18E-05,2651
19-09-2022,1INCHBTC,3.05E-05,3632
18-09-2022,1INCHBTC,2.94E-05,4486
17-09-2022,1INCHBTC,3.13E-05,1274
16-09-2022,1INCHBTC,3.12E-05,2912
15-09-2022,1INCHBTC,3.00E-05,2187
14-09-2022,1INCHBTC,3.03E-05,2343
13-09-2022,1INCHBTC,2.95E-05,3660
12-09-2022,1INCHBTC,2.89E-05,3354
11-09-2022,1INCHBTC,2.97E-05,2467
10-09-2022,1INCHBTC,3.03E-05,2716
09-09-2022,1INCHBTC,3.08E-05,3998
08-09-2022,1INCHBTC,3.30E-05,2420
07-09-2022,1INCHBTC,3.27E-05,2428
06-09-2022,1INCHBTC,3.24E-05,4200
05-09-2022,1INCHBTC,3.34E-05,2176
04-09-2022,1INCHBTC,3.37E-05,2681
03-09-2022,1INCHBTC,3.47E-05,1715
02-09-2022,1INCHBTC,3.57E-05,7855
01-09-2022,1INCHBTC,3.32E-05,2344
31-08-2022,1INCHBTC,3.31E-05,3288
30-08-2022,1INCHBTC,3.30E-05,1464
29-08-2022,1INCHBTC,3.31E-05,1863
28-08-2022,1INCHBTC,3.22E-05,1611
27-08-2022,1INCHBTC,3.26E-05,1607
26-08-2022,1INCHBTC,3.26E-05,2995
25-08-2022,1INCHBTC,3.45E-05,2061
24-08-2022,1INCHBTC,3.38E-05,2434
23-08-2022,1INCHBTC,3.36E-05,3634
22-08-2022,1INCHBTC,3.27E-05,1298
21-08-2022,1INCHBTC,3.26E-05,1959
20-08-2022,1INCHBTC,3.20E-05,2913
19-08-2022,1INCHBTC,3.27E-05,5169
18-08-2022,1INCHBTC,3.16E-05,4012
17-08-2022,1INCHBTC,3.31E-05,4012
16-08-2022,1INCHBTC,3.42E-05,3551
15-08-2022,1INCHBTC,3.40E-05,3818
14-08-2022,1INCHBTC,3.46E-05,3986
13-08-2022,1INCHBTC,3.57E-05,4539
12-08-2022,1INCHBTC,3.61E-05,4077
11-08-2022,1INCHBTC,3.61E-05,3672
10-08-2022,1INCHBTC,3.68E-05,5701
09-08-2022,1INCHBTC,3.49E-05,5524
08-08-2022,1INCHBTC,3.51E-05,4058
07-08-2022,1INCHBTC,3.48E-05,2873
06-08-2022,1INCHBTC,3.52E-05,2549
05-08-2022,1INCHBTC,3.57E-05,4579
04-08-2022,1INCHBTC,3.53E-05,4697
03-08-2022,1INCHBTC,3.36E-05,4833
02-08-2022,1INCHBTC,3.23E-05,5515
