date,symbol,close,tradecount
12/11/22,1INCHBUSD,0.435,1331
12/10/22,1INCHBUSD,0.444,1161
12/9/22,1INCHBUSD,0.441,1995
12/8/22,1INCHBUSD,0.448,2462
12/7/22,1INCHBUSD,0.444,3488
12/6/22,1INCHBUSD,0.475,2601
12/5/22,1INCHBUSD,0.484,2961
12/4/22,1INCHBUSD,0.498,1550
12/3/22,1INCHBUSD,0.487,3736
12/2/22,1INCHBUSD,0.503,3470
12/1/22,1INCHBUSD,0.51,1786
11/30/22,1INCHBUSD,0.527,1623
11/29/22,1INCHBUSD,0.519,1142
11/28/22,1INCHBUSD,0.516,3085
11/27/22,1INCHBUSD,0.519,4258
11/26/22,1INCHBUSD,0.518,1433
11/25/22,1INCHBUSD,0.517,1324
11/24/22,1INCHBUSD,0.528,2136
11/23/22,1INCHBUSD,0.544,1880
11/22/22,1INCHBUSD,0.537,2592
11/21/22,1INCHBUSD,0.504,3299
11/20/22,1INCHBUSD,0.503,2073
11/19/22,1INCHBUSD,0.536,1814
11/18/22,1INCHBUSD,0.527,1840
11/17/22,1INCHBUSD,0.515,3455
11/16/22,1INCHBUSD,0.522,2692
11/15/22,1INCHBUSD,0.53,3789
11/14/22,1INCHBUSD,0.516,5069
11/13/22,1INCHBUSD,0.521,7375
11/12/22,1INCHBUSD,0.507,4665
11/11/22,1INCHBUSD,0.558,5260
11/10/22,1INCHBUSD,0.568,6773
11/9/22,1INCHBUSD,0.527,6961
11/8/22,1INCHBUSD,0.556,10476
11/7/22,1INCHBUSD,0.635,5627
11/6/22,1INCHBUSD,0.635,6085
11/5/22,1INCHBUSD,0.645,4281
11/4/22,1INCHBUSD,0.652,6308
11/3/22,1INCHBUSD,0.608,6636
11/2/22,1INCHBUSD,0.59,3235
11/1/22,1INCHBUSD,0.607,1466
10/31/22,1INCHBUSD,0.612,5832
10/30/22,1INCHBUSD,0.614,3456
10/29/22,1INCHBUSD,0.626,3552
10/28/22,1INCHBUSD,0.614,3069
10/27/22,1INCHBUSD,0.595,3643
10/26/22,1INCHBUSD,0.61,7516
10/25/22,1INCHBUSD,0.582,4719
10/24/22,1INCHBUSD,0.567,3582
10/23/22,1INCHBUSD,0.58,2358
10/22/22,1INCHBUSD,0.571,2227
10/21/22,1INCHBUSD,0.569,4468
10/20/22,1INCHBUSD,0.563,3279
10/19/22,1INCHBUSD,0.566,3862
10/18/22,1INCHBUSD,0.571,3771
10/17/22,1INCHBUSD,0.576,1759
10/16/22,1INCHBUSD,0.569,1691
10/15/22,1INCHBUSD,0.562,1600
10/14/22,1INCHBUSD,0.56,1992
10/13/22,1INCHBUSD,0.563,3743
10/12/22,1INCHBUSD,0.57,1117
10/11/22,1INCHBUSD,0.562,1743
10/10/22,1INCHBUSD,0.576,2628
10/9/22,1INCHBUSD,0.607,1843
10/8/22,1INCHBUSD,0.599,3783
10/7/22,1INCHBUSD,0.615,18556
10/6/22,1INCHBUSD,0.575,1493
10/5/22,1INCHBUSD,0.585,1428
10/4/22,1INCHBUSD,0.585,1180
10/3/22,1INCHBUSD,0.573,1281
10/2/22,1INCHBUSD,0.554,1683
10/1/22,1INCHBUSD,0.575,728
9/30/22,1INCHBUSD,0.576,2847
9/29/22,1INCHBUSD,0.585,2426
9/28/22,1INCHBUSD,0.586,3701
9/27/22,1INCHBUSD,0.608,3662
9/26/22,1INCHBUSD,0.625,5110
9/25/22,1INCHBUSD,0.601,3663
9/24/22,1INCHBUSD,0.607,2079
9/23/22,1INCHBUSD,0.608,3661
9/22/22,1INCHBUSD,0.593,2568
9/21/22,1INCHBUSD,0.563,4096
9/20/22,1INCHBUSD,0.601,1808
9/19/22,1INCHBUSD,0.595,2990
9/18/22,1INCHBUSD,0.572,3457
9/17/22,1INCHBUSD,0.629,1391
9/16/22,1INCHBUSD,0.616,4206
9/15/22,1INCHBUSD,0.589,3401
9/14/22,1INCHBUSD,0.613,3099
9/13/22,1INCHBUSD,0.593,4251
9/12/22,1INCHBUSD,0.649,3659
9/11/22,1INCHBUSD,0.649,2644
9/10/22,1INCHBUSD,0.657,2674
9/9/22,1INCHBUSD,0.658,3162
9/8/22,1INCHBUSD,0.639,2556
9/7/22,1INCHBUSD,0.628,2468
9/6/22,1INCHBUSD,0.608,4305
9/5/22,1INCHBUSD,0.662,1154
9/4/22,1INCHBUSD,0.672,1596
9/3/22,1INCHBUSD,0.688,1483
9/2/22,1INCHBUSD,0.714,9836
9/1/22,1INCHBUSD,0.669,1942
8/31/22,1INCHBUSD,0.662,3091
8/30/22,1INCHBUSD,0.653,2167
8/29/22,1INCHBUSD,0.672,1264
8/28/22,1INCHBUSD,0.63,1540
8/27/22,1INCHBUSD,0.652,2202
8/26/22,1INCHBUSD,0.66,3466
8/25/22,1INCHBUSD,0.746,1860
8/24/22,1INCHBUSD,0.721,1148
8/23/22,1INCHBUSD,0.724,3332
8/22/22,1INCHBUSD,0.7,2223
8/21/22,1INCHBUSD,0.701,2697
8/20/22,1INCHBUSD,0.677,1928
8/19/22,1INCHBUSD,0.678,4717
8/18/22,1INCHBUSD,0.732,2630
8/17/22,1INCHBUSD,0.773,3251
8/16/22,1INCHBUSD,0.818,2271
8/15/22,1INCHBUSD,0.819,3348
8/14/22,1INCHBUSD,0.84,3492
8/13/22,1INCHBUSD,0.874,3224
8/12/22,1INCHBUSD,0.88,3532
8/11/22,1INCHBUSD,0.867,3570
8/10/22,1INCHBUSD,0.883,5564
8/9/22,1INCHBUSD,0.808,4507
8/8/22,1INCHBUSD,0.838,3643
